date,crop,model,horizon,forecast
2026-01-11,Grapefruit,SeasonalNaive,2,2.2723159780962767
2026-01-18,Grapefruit,SeasonalNaive,3,2.2723159780962767
2026-01-25,Grapefruit,SeasonalNaive,4,2.2723159780962767
2026-02-01,Grapefruit,SeasonalNaive,5,2.2723159780962767
2026-02-08,Grapefruit,SeasonalNaive,6,2.2723159780962767
2026-02-15,Grapefruit,SeasonalNaive,7,2.2723159780962767
2026-02-22,Grapefruit,SeasonalNaive,8,2.651035307778989
2026-03-01,Grapefruit,SeasonalNaive,9,2.651035307778989
2026-03-08,Grapefruit,SeasonalNaive,10,2.2723159780962767
2026-03-15,Grapefruit,SeasonalNaive,11,2.651035307778989
2026-03-22,Grapefruit,SeasonalNaive,12,2.2723159780962767
2026-03-29,Grapefruit,SeasonalNaive,13,1.893596648413564
2026-01-04,Lemon,SeasonalNaive,1,14.685040913870797
2026-01-11,Lemon,SeasonalNaive,2,13.931961892646656
2026-01-18,Lemon,SeasonalNaive,3,14.308501403258726
2026-01-25,Lemon,SeasonalNaive,4,14.685040913870797
2026-02-01,Lemon,SeasonalNaive,5,16.567738466931154
2026-02-08,Lemon,SeasonalNaive,6,14.308501403258726
2026-02-15,Lemon,SeasonalNaive,7,14.685040913870797
2026-02-22,Lemon,SeasonalNaive,8,14.685040913870797
2026-03-01,Lemon,SeasonalNaive,9,14.308501403258726
2026-03-08,Lemon,SeasonalNaive,10,15.43811993509494
2026-03-15,Lemon,SeasonalNaive,11,15.06158042448287
2026-03-22,Lemon,SeasonalNaive,12,15.43811993509494
2026-03-29,Lemon,SeasonalNaive,13,15.43811993509494
2026-01-04,Pumpkin,SeasonalNaive,1,4.57492288956091
2026-01-11,Pumpkin,SeasonalNaive,2,4.57492288956091
2026-01-18,Pumpkin,SeasonalNaive,3,4.57492288956091
2026-01-25,Pumpkin,SeasonalNaive,4,4.57492288956091
2026-02-01,Pumpkin,SeasonalNaive,5,3.8124357413007584
2026-02-08,Pumpkin,SeasonalNaive,6,3.8124357413007584
2026-02-15,Pumpkin,SeasonalNaive,7,3.8124357413007584
2026-02-22,Pumpkin,SeasonalNaive,8,3.8124357413007584
2026-03-01,Pumpkin,SeasonalNaive,9,3.8124357413007584
2026-03-08,Pumpkin,SeasonalNaive,10,3.8124357413007584
2026-03-15,Pumpkin,SeasonalNaive,11,3.8124357413007584
2026-03-22,Pumpkin,SeasonalNaive,12,3.8124357413007584
2026-03-29,Pumpkin,SeasonalNaive,13,3.8124357413007584
2026-01-04,Peach,SeasonalNaive,1,3.388855595508646
2026-01-11,Peach,SeasonalNaive,2,3.388855595508646
2026-01-18,Peach,SeasonalNaive,3,3.388855595508646
2026-01-25,Peach,SeasonalNaive,4,3.765395106120717
2026-02-01,Peach,SeasonalNaive,5,3.765395106120717
2026-02-08,Peach,SeasonalNaive,6,3.765395106120717
2026-02-15,Peach,SeasonalNaive,7,3.765395106120717
2026-02-22,Peach,SeasonalNaive,8,3.765395106120717
2026-03-01,Peach,SeasonalNaive,9,4.518474127344861
2026-03-08,Peach,SeasonalNaive,10,4.141934616732788
2026-03-15,Peach,SeasonalNaive,11,4.518474127344861
2026-03-22,Peach,SeasonalNaive,12,4.518474127344861
2026-03-29,Peach,SeasonalNaive,13,4.141934616732788
2026-01-04,Celery,SeasonalNaive,1,2.6445523313055905
2026-01-11,Celery,SeasonalNaive,2,2.6445523313055905
2026-01-18,Celery,SeasonalNaive,3,2.6445523313055905
2026-01-25,Celery,SeasonalNaive,4,2.266759141119078
2026-02-01,Celery,SeasonalNaive,5,2.6445523313055905
2026-02-08,Celery,SeasonalNaive,6,2.266759141119078
2026-02-15,Celery,SeasonalNaive,7,2.6445523313055905
2026-02-22,Celery,SeasonalNaive,8,2.266759141119078
2026-03-01,Celery,SeasonalNaive,9,2.266759141119078
2026-03-08,Celery,SeasonalNaive,10,2.266759141119078
2026-03-15,Celery,SeasonalNaive,11,2.266759141119078
2026-03-22,Celery,SeasonalNaive,12,2.266759141119078
2026-03-29,Celery,SeasonalNaive,13,2.266759141119078
2026-01-04,Lettuce,SeasonalNaive,1,3.400138711678617
2026-01-11,Lettuce,SeasonalNaive,2,3.400138711678617
2026-01-18,Lettuce,SeasonalNaive,3,3.022345521492104
2026-01-25,Lettuce,SeasonalNaive,4,3.022345521492104
2026-02-01,Lettuce,SeasonalNaive,5,3.022345521492104
2026-02-08,Lettuce,SeasonalNaive,6,3.400138711678617
2026-02-15,Lettuce,SeasonalNaive,7,3.400138711678617
2026-02-22,Lettuce,SeasonalNaive,8,3.400138711678617
2026-03-01,Lettuce,SeasonalNaive,9,3.400138711678617
2026-03-08,Lettuce,SeasonalNaive,10,3.400138711678617
2026-03-15,Lettuce,SeasonalNaive,11,3.400138711678617
2026-03-22,Lettuce,SeasonalNaive,12,3.400138711678617
