group,seam,crop,n_overlap,factor,median_abs_rel,p90_abs_rel,mean_signed_rel
g2,p14,strawberry,27,0.5333147521049569,0.027663006013286615,0.028411118708227153,-0.0031046185612874015
g2,p14,tomato,27,0.5333147521049569,0.005865855848324109,0.027663006013286594,0.0005837133381127242
g2,p14,potato,27,0.5333147521049569,0.027663006013286674,0.027663006013286674,-0.02762595380787233
g2,p14,bell pepper,27,0.5333147521049569,0.027663006013286754,0.08037443776301474,0.008886700801711013
g2,p15,cucumber,26,0.5333147521049569,0.0,0.0,0.0
g2,p15,strawberry,26,0.5333147521049569,0.0,0.0,0.0
g2,p15,tomato,26,0.5333147521049569,0.0,0.0,0.0
g2,p15,potato,26,0.5333147521049569,0.0,0.0,0.0
g2,p15,bell pepper,26,0.5333147521049569,0.0,0.0,0.0
g2,p16,cucumber,28,0.53730641557968,0.0074846297781341956,0.007484629778134288,0.007484629778134197
g2,p16,strawberry,28,0.53730641557968,0.0074846297781342415,0.0375705834790245,0.0005139556197138907
g2,p16,tomato,28,0.53730641557968,0.0074846297781341956,0.026098191214470313,-0.0018938415377767206
g2,p16,potato,10,0.53730641557968,0.0074846297781341956,0.0074846297781341956,0.007484629778134194
g2,p16,bell pepper,28,0.53730641557968,0.007484629778134136,0.007484629778134209,-0.0010110243420187637
g2,p17,cucumber,27,0.5371853449044356,0.00022532892169869714,0.00022532892169869714,5.181712550786158e-05
g2,p17,strawberry,27,0.5371853449044356,0.00022532892169869714,0.000225328921698769,5.1817125507851164e-05
g2,p17,tomato,27,0.5371853449044356,0.00022532892169869714,0.00022532892169881946,5.181712550787128e-05
g2,p17,potato,15,0.5371853449044356,0.00022532892169869714,0.00022532892169869714,-0.00022532892169869722
g2,p17,bell pepper,27,0.5371853449044356,0.00022532892169869714,0.00022532892169869714,5.18171255078575e-05
g2,p18,cucumber,27,0.3954682975204379,0.030660314508593828,0.05347522136965873,-0.0013649017249709775
g2,p18,strawberry,27,0.3954682975204379,0.012255666035226003,0.03230295658450631,0.0032662306320669263
g2,p18,tomato,27,0.3954682975204379,0.008980466818659757,0.02540184351620302,0.0038710721001573864
g2,p18,potato,15,0.3954682975204379,0.2638140610652901,0.2638140610652901,-0.2147349984696428
g2,p18,bell pepper,27,0.3954682975204379,0.05169419847815694,0.0797675763316127,-0.005281347536435799
g2,p19,cucumber,27,0.3953970142287655,0.00018025033136493594,0.00018025033136505626,-0.0008623032240170609
g2,p19,strawberry,27,0.3953970142287655,0.00018025033136491542,0.00018025033136504022,0.00043585064048959864
g2,p19,tomato,27,0.3953970142287655,0.00018025033136491044,0.0001802503313650295,-3.620531024007416e-05
g2,p19,potato,15,0.3953970142287655,0.00018025033136493594,0.00018025033136493594,-0.017764684230922555
g2,p19,bell pepper,27,0.3953970142287655,0.00018025033136495754,0.0001802503313650295,0.0017340045049962175
g3,p02,cucumber,27,1.0172910662824208,0.017291066282420903,0.04414985590778116,0.0009641726260363329
g3,p02,strawberry,27,1.0172910662824208,0.017291066282420862,0.04628962536023051,0.004481893246492151
g3,p02,lime,27,1.0172910662824208,0.017291066282420862,0.09574127441562592,-0.009546638949456662
g3,p02,cabbage,27,1.0172910662824208,0.017291066282420903,0.017291066282420903,0.0034760024193262714
g3,p02,pineapple,27,1.0172910662824208,0.017291066282420862,0.042050912584053725,-0.00010254996246022213
g3,p03,cucumber,26,1.0172910662824208,0.0,0.0,0.0
g3,p03,strawberry,26,1.0172910662824208,0.0,0.0,0.0
g3,p03,lime,26,1.0172910662824208,0.0,0.0,0.0
g3,p03,cabbage,26,1.0172910662824208,0.0,0.0,0.0
g3,p03,pineapple,26,1.0172910662824208,0.0,0.0,0.0
g3,p04,cucumber,28,1.017870059490322,0.0005691519635742285,0.0005691519635743171,0.0005691519635742232
g3,p04,strawberry,28,1.017870059490322,0.0005691519635743023,0.0005691519635743782,-0.0011324962540508407
g3,p04,lime,28,1.017870059490322,0.0005691519635742423,0.0005691519635743231,0.0005691519635742518
g3,p04,cabbage,28,1.017870059490322,0.0005691519635742285,0.0005691519635743782,0.000569151963574257
g3,p04,pineapple,28,1.017870059490322,0.0005691519635742701,0.0005691519635743664,0.0005691519635742667
g3,p05,cucumber,26,1.0183840450662764,0.000504961877169083,0.0005049618771691385,0.0005268633911543984
g3,p05,strawberry,26,1.0183840450662764,0.0005049618771690168,0.0005049618771691342,-0.0013066062081877534
g3,p05,lime,26,1.0183840450662764,0.0005049618771690969,0.00050496187716918,0.0005268633911543993
g3,p05,cabbage,26,1.0183840450662764,0.0005049618771690969,0.00050496187716918,0.0005268633911544079
g3,p05,pineapple,26,1.0183840450662764,0.0005049618771690553,0.0005049618771691629,0.0005268633911543817
g3,p06,cucumber,27,0.5630025359554099,0.03657334384858038,0.08943217665615155,-0.0069290169820313404
g3,p06,strawberry,27,0.5630025359554099,0.017174903610234882,0.03253154574132489,0.0024006423152216315
g3,p06,lime,27,0.5630025359554099,0.026701216764308294,0.08943217665615154,-0.0014282515202599434
g3,p06,cabbage,27,0.5630025359554099,0.026701216764308294,0.10567823343848583,0.009313272764026336
g3,p06,pineapple,27,0.5630025359554099,0.013538380651945223,0.028807270542286396,0.00028176206463769484
g3,p07,cucumber,27,0.5627244701380504,0.0004938979837590244,0.0004938979837590996,-0.0024290824651550923
g3,p07,strawberry,27,0.5627244701380504,0.0004938979837589493,0.0004938979837590359,-0.0003028060992323733
g3,p07,lime,27,0.5627244701380504,0.0004938979837589889,0.0004938979837590591,0.0004945475379885851
g3,p07,cabbage,27,0.5627244701380504,0.0004938979837590244,0.0004938979837590996,0.001144243094242733
g3,p07,pineapple,27,0.5627244701380504,0.0004938979837590154,0.0004938979837590591,0.0008600012883815344
g3,p08,cucumber,27,0.9491015820619215,0.016139125067195687,0.07599214153959187,-0.01229076768663527
g3,p08,strawberry,27,0.9491015820619215,0.011971185645170104,0.026762774040890915,0.0024464302959755387
g3,p08,lime,27,0.9491015820619215,0.03621791843317138,0.03791916476427699,0.006187492088821903
g3,p08,cabbage,27,0.9491015820619215,0.016139125067195687,0.08002619486802731,-0.013453687092574475
g3,p08,pineapple,27,0.9491015820619215,0.011971185645170104,0.031150126733205614,0.004465743199937529
g3,p09,cucumber,27,0.9491746472004489,7.698347564500803e-05,7.698347564506178e-05,-0.0005208079137304501
g3,p09,strawberry,27,0.9491746472004489,7.698347564505106e-05,7.698347564511041e-05,-0.00012034531057106725
g3,p09,lime,27,0.9491746472004489,7.698347564504702e-05,7.698347564507043e-05,-0.001264524176740641
g3,p09,cabbage,27,0.9491746472004489,7.698347564504702e-05,7.698347564507043e-05,-0.00021457180543210452
g3,p09,pineapple,27,0.9491746472004489,7.698347564504702e-05,7.698347564512339e-05,0.0008990140429254398
g3,p10,cucumber,27,0.9019177659937133,0.04978734034470658,0.0757764753954572,-0.015118449841062578
g3,p10,strawberry,27,0.9019177659937133,0.0061075219879576865,0.028873742437192464,0.0015846449033818635
g3,p10,lime,27,0.9019177659937133,0.049787340344706534,0.06898924211220504,0.0008548731026501161
g3,p10,cabbage,27,0.9019177659937133,0.04978734034470652,0.10858143626450908,0.012557363541206882
g3,p10,pineapple,27,0.9019177659937133,0.009600950883749291,0.041872313366801986,0.004389007547235326
g3,p11,cucumber,27,0.9017453236744146,0.00019119516856251333,0.0001911951685625872,-0.002034818177665345
